region,parent_region,subset,amplitude values,amplitude stderr,center values,center stderr,sigma values,sigma stderr
#Worldwide,#Global,confirmed,46794237.98520571,564542.131552564,213.56377395132475,1.1390979428534735,42.475007653484866,0.3930150070335632
#Worldwide,#Global,deaths,1101423.6518176545,19224.419924846345,167.6234739865902,2.0169945064757657,43.45065395270494,1.057162622045139
#Worldwide,#Global,recovered,32552448.104927294,252906.35609228397,219.3161049341299,0.625039753126608,36.05590894639674,0.21725899181341082
Afghanistan,#Global,confirmed,38110.51035413081,63.60695640221765,136.27893946682016,0.14571248019496041,14.156699348961837,0.1247606913050559
Afghanistan,#Global,deaths,1455.494007944965,2.7302962371429604,157.1219469175689,0.15430168331533384,17.983505520156125,0.12730824695588494
Afghanistan,#Global,recovered,30436.60984525581,177.67516881826333,163.07437424795597,0.4218352407378364,13.407103002043906,0.3571358788699376
Albania,#Global,confirmed,20418.570686535026,209.37578349763996,227.11673231750137,0.7674675495365958,34.76390506951622,0.2443378578448444
Albania,#Global,deaths,510.7649760767454,10.133641090617926,215.57859318579244,1.4354935664153685,30.666460127320793,0.5700002188442255
Albania,#Global,recovered,16689.678896982925,659.5996273828391,255.06195048812646,2.9657832955935692,41.21503898773041,0.6142981017257255
Algeria,#Global,confirmed,60632.03550912773,647.624894105612,192.004083853026,0.9023677940324587,31.780945832907566,0.4646189497203316
Algeria,#Global,deaths,1875.0028194731822,30.36505849327706,161.28874454226158,1.874943472018443,41.98317227973407,1.0524380501300625
Algeria,#Global,recovered,41192.13370680078,267.878173304088,190.2456687923746,0.524294156150255,29.123846610884147,0.29104708739373103
Andorra,#Global,confirmed,4539.491018489125,1981.607780806064,303.72664298806103,68.12836883960607,94.39828658013236,10.955653680717079
Andorra,#Global,deaths,52.03206597107113,0.12543342940996144,81.3019807163255,0.22312617953017938,9.192973327674984,0.19449231423592261
Andorra,#Global,recovered,953.0332438643788,13.961833696891201,109.85075097503135,1.6499633326316265,20.572399641858667,1.4006636577674723
Angola,#Global,confirmed,8763.761967422382,278.5556032318669,245.188295623707,1.7278396948986208,27.570559279953034,0.44081343141809
Angola,#Global,deaths,234.17740874895122,4.95989416179637,224.24031244467753,1.248022260974248,25.226364358458493,0.48396261672405366
Angola,#Global,recovered,3594.072005272198,302.2005009852819,247.71916992847343,4.317966729219652,26.47428234357481,1.0560399818190125
Antigua and Barbuda,#Global,confirmed,107.53030439158822,2.1480707182961245,155.67394759224834,2.0176027732917405,31.214259559917178,1.3916814796802857
Antigua and Barbuda,#Global,deaths,2.9978142337374423,0.008683749935250482,78.31560924821733,0.15087918590909757,2.6207648594637063,0.13250788446658096
Antigua and Barbuda,#Global,recovered,102.76538128694862,1.8884059163706606,175.60663598577057,1.5261683137080666,26.322919819011016,1.0222235145938638
Argentina,#Global,confirmed,1239271.5887457067,14100.310160485535,240.4175864840298,0.6513092278045043,28.075543770784527,0.1809651842700125
Argentina,#Global,deaths,127124.66601661812,32564.702898745934,314.90730313896756,11.563054015473698,34.84006174005244,0.7430338425276933
Argentina,#Global,recovered,845342.6305071174,16507.58702395243,234.36345853177397,0.9219979388612087,21.08767351286134,0.32304649297919963
Armenia,#Global,confirmed,47500.93706781531,197.06612985473183,158.52384489786002,0.3548153445233454,21.18730861181128,0.2820714663160374
Armenia,#Global,deaths,942.1748978512344,2.625772356195918,163.85774885741458,0.22653369046363622,20.360072175942435,0.1792954012410247
