label_parent,label,label_parent_en,label_en
#Global,China,#Global,China
#Global,Japan,#Global,Japan
#Global,Südkorea,#Global,South Korea
#Global,Taiwan,#Global,Taiwan
#Global,Thailand,#Global,Thailand
#Global,USA,#Global,USA
China,Anhui,China,Anhui
China,Chongqing,China,Chongqing
China,Fujian,China,Fujian
China,Guangdong,China,Guangdong
China,Guangxi,China,Guangxi
China,Guizhou,China,Guizhou
China,Hainan,China,Hainan
China,Hebei,China,Hebei
China,Henan,China,Henan
China,Hubei (Wuhan),China,Hubei (Wuhan)
China,Hunan,China,Hunan
China,Jiangsu,China,Jiangsu
China,Jiangxi,China,Jiangxi
China,Liaoning,China,Liaoning
China,Macau,China,Macao
China,Ningxia,China,Ningxia
China,Peking (Beijing),China,Beijing
China,Shandong,China,Shandong
China,Shanghai,China,Shanghai
China,Shanxi,China,Shanxi
China,Sichuan,China,Sichuan
China,Tianjin,China,Tianjin
China,Yunnan,China,Yunnan
China,Zhejiang,China,Zhejiang
USA,Washington,USA,Washington
#Global,Singapur,#Global,Singapore
#Global,Vietnam,#Global,Vietnam
China,Gansu,China,Gansu
China,Heilongjiang,China,Heilongjiang
China,Hong Kong,China,Hong Kong
China,Jilin,China,Jilin
China,Shaanxi,China,Shaanxi
China,Xinjiang,China,Xinjiang
China,Innere Mongolei,China,Inner Mongolia
USA,Illinois,USA,Illinois
#Global,Australien,#Global,Australia
#Global,Frankreich,#Global,France
#Global,Nepal,#Global,Nepal
China,Qinghai,China,Qinghai
#Global,Malaysia,#Global,Malaysia
USA,Arizona,USA,Arizona
USA,California,USA,California
#Global,Deutschland,#Global,Germany
#Global,Elfenbeinküste,#Global,Ivory Coast
#Global,Kambodscha,#Global,Cambodia
#Global,Kanada,#Global,Canada
#Global,Sri Lanka,#Global,Sri Lanka
Australien,New South Wales,Australia,New South Wales
Australien,Victoria,Australia,Victoria
Deutschland,Baden-Württemberg,Germany,Baden-Württemberg
Deutschland,Bayern,Germany,Bavaria
Deutschland,Berlin,Germany,Berlin
Deutschland,Brandenburg,Germany,Brandenburg
Deutschland,Bremen,Germany,Bremen
Deutschland,Hamburg,Germany,Hamburg
Deutschland,Hessen,Germany,Hesse
Deutschland,Mecklenburg-Vorpommern,Germany,Mecklenburg-Western Pomerania
Deutschland,Niedersachsen,Germany,Lower Saxony
Deutschland,Nordrhein-Westfalen,Germany,North Rhine-Westphalia
Deutschland,Rheinland-Pfalz,Germany,Rhineland-Palatinate
Deutschland,Saarland,Germany,Saarland
Deutschland,Sachsen,Germany,Saxony
Deutschland,Sachsen-Anhalt,Germany,Saxony-Anhalt
Deutschland,Schleswig-Holstein,Germany,Sleswick-Holsatia
Deutschland,Thüringen,Germany,Thuringia
Deutschland,weitere Fälle bundesweit,Germany,other cases in Germany
Kanada,Ontario,Canada,Ontario
Kanada,British Columbia,Canada,British Columbia
#Global,Finnland,#Global,Finland
#Global,Vereinigte Arabische Emirate,#Global,United Arab Emirates
Australien,Queensland,Australia,Queensland
#Global,Indien,#Global,India
#Global,Philippinen,#Global,Philippines
China,Tibet,China,Tibet
#Global,Großbritannien,#Global,United Kingdom
#Global,Italien,#Global,Italy
#Global,Russland,#Global,Russia
#Global,Schweden,#Global,Sweden
#Global,Spanien,#Global,Spain
Australien,South Australia,Australia,South Australia
USA,Massachusetts,USA,Massachusetts
#Global,Belgien,#Global,Belgium
USA,Wisconsin,USA,Wisconsin
International,Kreuzfahrtschiff 'Diamond Princess',International,Cruise Ship 'Diamond Princess'
International,Kreuzfahrtschiffe,International,Cruise Ships
USA,Texas,USA,Texas
#Global,Ägypten,#Global,Egypt
#Global,Iran,#Global,Iran
#Global,Israel,#Global,Israel
#Global,Libanon,#Global,Lebanon
Bürger Australiens,Kreuzfahrtschiff 'Diamond Princess',Australian Citizens,Cruise Ship 'Diamond Princess'
Bürger Israels,Kreuzfahrtschiff 'Diamond Princess',Israeli Citizens,Cruise Ship 'Diamond Princess'
USA,Nebraska,USA,Nebraska
#Global,Afghanistan,#Global,Afghanistan
#Global,Bahrain,#Global,Bahrain
#Global,Irak,#Global,Iraq
#Global,Kuwait,#Global,Kuwait
#Global,Oman,#Global,Oman
Bürder der USA+,Kreuzfahrtschiff 'Grand Princess',US Citizens,Cruise Ship 'Grand Princess'
International,Kreuzfahrtschiff 'Grand Princess',International,Cruise Ship 'Grand Princess'
#Global,Algerien,#Global,Algeria
#Global,Kroatien,#Global,Croatia
#Global,Schweiz,#Global,Switzerland
#Global,Österreich,#Global,Austia
#Global,Brasilien,#Global,Brazil
#Global,Georgien,#Global,Georgia
#Global,Griechenland,#Global,Greece
#Global,Nordmazedonien,#Global,North Macedonia
#Global,Norwegen,#Global,Norway
#Global,Pakistan,#Global,Pakistan
#Global,Rumänien,#Global,Romania
#Global,Dänemark,#Global,Denmark
#Global,Estland,#Global,Estonia
#Global,Niederlande,#Global,Netherlands
#Global,San Marino,#Global,San Marino
#Global,Aserbaidschan,#Global,Azerbaijan
#Global,Belarus,#Global,Belarus
#Global,Island,#Global,Iceland
#Global,Litauen,#Global,Lithuania
#Global,Mexiko,#Global,Mexico
#Global,Neuseeland,#Global,New Zealand
#Global,Nigeria,#Global,Nigeria
Kanada,Québec,Canada,Québec
#Global,Irland,#Global,Ireland
#Global,Katar,#Global,Qatar
#Global,Luxemburg,#Global,Luxembourg
#Global,Monaco,#Global,Monaco
Australien,Western Australia,Australia,Western Australia
USA,Oregon,USA,Oregon
#Global,Armenien,#Global,Armenia
#Global,Dominikanische Republik,#Global,Dominican Republic
#Global,Ecuador,#Global,Ecuador
#Global,Tschechien,#Global,Czechia
USA,Rhode Island,USA,Rhode Island
