region,parent_region,subset,amplitude values,amplitude stderr,decay values,decay stderr
,#Global,confirmed,503251.0031252774,19598.063937526105,-53.886212397183535,0.6295313705812378
,#Global,recovered,134888.83085303282,5376.041542585146,-44.158360567573254,0.4229101056414686
,#Global,deaths,48421.97627669675,3057.017734149505,-71.07167725580271,1.8443210041382727
Afghanistan,#Global,confirmed,2650.6696012960674,284.6140312055496,-58.55110458424696,2.5317090976888217
Afghanistan,#Global,recovered,435.48801814320836,69.67673736739178,-39.03730707949712,1.5915057363679268
Afghanistan,#Global,deaths,40.14956280462543,3.5726132964484,-45.780477157375024,1.2400921204546975
Albania,#Global,confirmed,174.71716201744758,4.255475357922679,-42.32479886884375,0.3161631989042407
Albania,#Global,recovered,144.38535693083602,4.648170089457229,-48.24924621718822,0.5525692770768156
Albania,#Global,deaths,4.20344987829799,0.2737172753230912,-40.0143801635757,0.7503122335389141
Algeria,#Global,confirmed,982.4036369786627,34.815103007107794,-46.167185099610045,0.5060777442089001
Algeria,#Global,recovered,542.0952181808211,21.07743867171537,-43.270210122902405,0.4838451259820656
Algeria,#Global,deaths,159.32850694748026,8.202988125230629,-75.8763981142246,2.1396945689350737
Andorra,#Global,confirmed,369.6017477327253,20.530710970095342,-148.5494091810436,10.373331482357717
Andorra,#Global,recovered,197.43524065582216,15.985507708683665,-96.68820208376205,5.94477636326344
Andorra,#Global,deaths,20.051587429035816,1.3808598789459277,-136.70053380184524,10.74229521876144
Angola,#Global,confirmed,4.188403530123265,0.1774227930911867,-23.863220261412266,0.178575858007471
Angola,#Global,recovered,0.7956264783947041,0.09547917910611564,-21.73576833410713,0.4166985801349858
Angola,#Global,deaths,0.2115964757600746,0.01136709646905335,-24.356366757874103,0.2363001817755724
Antigua and Barbuda,#Global,confirmed,8.686050518945214,0.5965177053716608,-60.933319253471105,2.006082483544953
Antigua and Barbuda,#Global,recovered,3.08745148320842,0.2810031141713614,-45.977507209814426,1.4510857168270308
Antigua and Barbuda,#Global,deaths,1.5250509265568182,0.11011380001621847,-171.76835284114753,19.990774657575766
Argentina,#Global,confirmed,938.8879578400777,37.329619871077256,-28.551729787877736,0.2162207910785692
Argentina,#Global,recovered,84.7629419431657,14.344893277893345,-21.626977610603102,0.5172142450751512
