date,parent_region,region,confirmed,recovered,deaths
2020-01-27,global,Japan,4.0,1.0,0.0
2020-01-27,China,Macau,6.0,0.0,0.0
2020-01-27,USA,Arizona,1.0,0.0,0.0
2020-01-27,USA,California,2.0,0.0,0.0
2020-01-27,China,Shanxi,13.0,0.0,0.0
2020-01-27,Australien,New South Wales,4.0,0.0,0.0
2020-01-27,China,Shanghai,53.0,3.0,1.0
2020-01-27,China,Xinjiang,5.0,0.0,0.0
2020-01-27,China,Hunan,100.0,0.0,0.0
2020-01-27,China,Innere Mongolei,11.0,0.0,0.0
2020-01-27,China,Jilin,6.0,0.0,0.0
2020-01-27,China,Anhui,70.0,0.0,0.0
2020-01-27,China,Shaanxi,35.0,0.0,0.0
2020-01-27,China,Peking (Beijing),80.0,2.0,1.0
2020-01-27,Australien,Victoria,1.0,0.0,0.0
2020-01-27,China,Zhejiang,128.0,1.0,0.0
2020-01-27,China,Tianjin,23.0,0.0,0.0
2020-01-27,China,Ningxia,7.0,0.0,0.0
2020-01-27,China,Yunnan,26.0,0.0,0.0
2020-01-27,China,Jiangsu,47.0,1.0,0.0
2020-01-27,China,Hebei,18.0,0.0,1.0
2020-01-27,China,Liaoning,27.0,0.0,0.0
2020-01-27,global,Taiwan,5.0,0.0,0.0
2020-01-27,China,Hong Kong,8.0,0.0,0.0
2020-01-27,China,Gansu,14.0,0.0,0.0
2020-01-27,USA,Washington,1.0,0.0,0.0
2020-01-27,global,Malaysia,4.0,0.0,0.0
2020-01-27,China,Hubei (Wuhan),1423.0,45.0,76.0
2020-01-27,global,Vietnam,2.0,0.0,0.0
2020-01-27,China,Fujian,59.0,0.0,0.0
2020-01-27,China,Heilongjiang,21.0,0.0,1.0
2020-01-27,China,Henan,128.0,0.0,1.0
2020-01-27,China,Shandong,75.0,0.0,0.0
2020-01-27,global,Thailand,8.0,2.0,0.0
2020-01-27,China,Hainan,33.0,0.0,1.0
2020-01-27,Kanada,Ontario,1.0,0.0,0.0
2020-01-27,global,Kambodscha,1.0,0.0,0.0
2020-01-27,global,Nepal,1.0,0.0,0.0
2020-01-27,China,Guizhou,7.0,0.0,0.0
2020-01-27,China,Chongqing,110.0,0.0,0.0
2020-01-27,global,Südkorea,4.0,0.0,0.0
2020-01-27,China,Qinghai,6.0,0.0,0.0
2020-01-27,global,Frankreich,3.0,0.0,0.0
2020-01-27,China,Jiangxi,72.0,2.0,0.0
2020-01-27,China,Sichuan,69.0,0.0,0.0
2020-01-27,China,Guangdong,151.0,4.0,0.0
2020-01-27,USA,Illinois,1.0,0.0,0.0
2020-01-27,Deutschland,Bayern,1.0,0.0,0.0
2020-01-27,China,Guangxi,46.0,0.0,0.0
2020-01-27,global,Sri Lanka,1.0,0.0,0.0
